referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
,1131PL20CSA41177,~1131PL20CSA41177,1,AG_ISDT_201909_1,QT2VZ9L1VPQ1,22ND CENTURY TECHNOLOGIES INC,3749,1.8
,1131PL20CSA41177,~1131PL20CSA41177,2,AG_USTDA_201909_2,EY6QS5J3VKB1,"Freealliance.com, LLC",1628,0.78
,1145PC22P0016,~1145PC22P0016,1,GS220817708F3,EYHDNJZ6X6L3,SELECTECH LLC,0,0
,12024B20C5500,~12024B20C5500,1,AEVEX-USFSR5-0001,T5ZTWJA6TGN6,"AEVEX HOLDINGS, LLC",2,0
,12026119C0010,~12026119C0010,1,JUSD01,CWVJEB454CR7,E CORP,0,0
,12026119C0010,~12026119C0010,2,JUSD01,G1DMJZKBDRZ5,"GUARDIAN CONSTRUCTION, INC.",2,0
,1202NV20C0003,~1202NV20C0003,1,21.0001-01,CPQ7FT62AVX3,EVANS CONSTRUCTION COMPANY,2880,1.38
,1202NV20C0003,~1202NV20C0003,2,21.0001-03,VP99J4L7GT79,"BAR-T ELECTRIC, INC.",700,0.33
,1202NV20C0003,~1202NV20C0003,3,21.0001-04,P5L1MJ4HT4L7,Idaho Traffic Safety Inc,80,0.03
,12305B21C0041,~12305B21C0041,1,,TR1XSKJS3QA1,"Kalkreuth Roofing & Sheet Metal, Inc.",24,0.01
,12305B21C0045,~12305B21C0045,1,S21-006-01,WMADX6Z5RPJ9,FORT MYER CONSTRUCTION CORP,0,0
,12305B22C0022,~12305B22C0022,1,Welch and Rushe Inc,CNG4MUEJR131,WELCH & RUSHE INC,0,0
,12314419C0048,~12314419C0048,1,ARLO-2021-PBC-010121,RZ8FKZ8R4MC9,GovReady PBC,1275,0.61
,12314420C0008,~12314420C0008,1, 2019-TARGETII-FW-0008 ,QN8HX78F66V7,"FORWARDWORKS CONSULTING, LLC",893,0.42
,12314420C0017,~12314420C0017,1,SCA-TGS-2020-0320-Brillient ,MMAVC7UGLJ78,Brillient Corporation,5246,2.52
,12314420C0017,~12314420C0017,2,SCA-TGS-2020-0320-SGM,GLJFLRJKV3L2,SGM INFOTECH LLC,2228,1.07
,12314420C0019,~12314420C0019,1,SCA-TGS-2020-0325-Brillient ,MMAVC7UGLJ78,Brillient Corporation,7958,3.82
,12314420C0019,~12314420C0019,2,SCA-TGS-2020-0325-SGM,GLJFLRJKV3L2,SGM INFOTECH LLC,11197,5.38
,12314420C0037,~12314420C0037,1,SCA-TGS-2020-09-Brillient,MMAVC7UGLJ78,Brillient Corporation,2583,1.24
,12314420C0045,~12314420C0045,1,1,GNGDFGE8TP35,"A1 Carpet Service, Inc.",2744,1.31
,12314420C0045,~12314420C0045,2,2,NX36X9LJ7573,"Action Elevator, Inc.",4763,2.28
,12314420C0045,~12314420C0045,3,3,ZDFAFLT9LJS9,"Freestate Baltimore, LLC",26561,12.76
,12314420C0045,~12314420C0045,4,4,L2N6UK6YMSL4,PRECISION WALL TECH INC,9863,4.74
,12314420C0045,~12314420C0045,5,5,P1BYLUHW5N23,"Tammal Enterprises, Inc.",2528,1.21
,12314420C0045,~12314420C0045,6,6,C15WQAMCPH97,"Del-Ray Glass, Inc.",1657,0.79
,12314420C0045,~12314420C0045,7,7,LBPXNM6S9FV9,"Vision Technologies, Inc.",729,0.35
,12314420C0045,~12314420C0045,8,8,UC1WL7FLVNE4,"W. E. BOWERS & ASSOCIATES, INC.",28794,13.84
,12314421C0026,~12314421C0026,1,02,ZBPQEJVECCT4,Peraton Inc.,11520,5.53
,12314421C0035,~12314421C0035,1,31184.05.05,F7J2LEA17J39,"Apex Systems, LLC",3651,1.75
,12314421C0035,~12314421C0035,2,31184.05.08,CCQBGD21CZR9,Creative Systems and Consulting L.L.C.,3339,1.6
,12314421C0035,~12314421C0035,3,31184.05.20,KBFUKJJSJW69,"TEKSystems, Inc. ",11329,5.44
,12314421C0050,~12314421C0050,1,USDA-2021FFIP-2021081,ZBQJW2SBNRF6,Packaged Agile LLC,4796,2.3
,12314421C0056,~12314421C0056,1,FA-Nikora-039-3336,LKKLT519ULE6,NIKORA TECHNOLOGIES INC,1919,0.92
,12314421C0056,~12314421C0056,2,TSCTI_12315118C0017,QT2VZ9L1VPQ1,22ND CENTURY TECHNOLOGIES INC,956,0.45
,12314421C0067,~12314421C0067,1,Valera - CA - USDA FNS -C0067,MTJUR1KZHBL4,VALERA INTELLIGENT SYSTEMS LLC,472,0.22
