referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
,1131PL20CCP91259,~1131PL20CCP91259,1,ACI10262020,JX2KQH6X8579,"ADAPTIVE CONCEPTS, INC",815.5,0.39
,1131PL23CSA41006,~1131PL23CSA41006,1,APT001.v1.0,XKKLFPG6AHF5,APTNEXUS LLC,8160,3.9
,1145PC22P0016,~1145PC22P0016,1,GS220817708F3,EYHDNJZ6X6L3,SELECTECH LLC,0,0
,12026119C0009,~12026119C0009,1,19062-01,ZKHTRVDZAMT9,PUSHER CONSTRUCTION INC,0,0
,12046W19C0002,~12046W19C0002,1,140319-001,QWANUQC4A9Y9,TICE ELECTRIC COMPANY,4457,2.14
,12305B20C0018,~12305B20C0018,1,20018-009,RGJ5LFL8RLG6,NEWTECH SYSTEMS INC,1,0
,12305B20C0018,~12305B20C0018,2,PO-1032670,MR6CG6K13LJ5,"CERTIS SOLUTIONS, LLC",1,0
,12305B20C0018,~12305B20C0018,3,SC-20018-1,NQVGQEBR4KJ7,BORLIE MECHANICAL CONTRACTING LLC,1,0
,12305B20C0018,~12305B20C0018,4,SC-20018-5,JHXXMNXDW6X1,ELLSWORTH ELECTRIC INC,1,0
,12305B21C0038,~12305B21C0038,1,0,HXMJA2V68HC3,ENFIELD ENTERPRISES LLC,0,0
,12314420C0017,~12314420C0017,1,SCA-TGS-2020-0320-Brillient ,MMAVC7UGLJ78,BRILLIENT CORPORATION,1517,0.72
,12314420C0017,~12314420C0017,2,SCA-TGS-2020-0320-SGM,GLJFLRJKV3L2,SGM Infotech LLC,1200,0.57
,12314420C0019,~12314420C0019,1,SCA-TGS-2020-0325-Brillient ,MMAVC7UGLJ78,BRILLIENT CORPORATION,4196,2.01
,12314420C0019,~12314420C0019,2,SCA-TGS-2020-0325-SGM ,GLJFLRJKV3L2,SGM Infotech LLC,6199,2.98
,12314420C0034,~12314420C0034,1,SCA-TGS-2020-10-Brillient,MMAVC7UGLJ78,BRILLIENT CORPORATION,5707,2.74
,12314420C0034,~12314420C0034,2,SCA-TGS-2023-0519-SGM,GLJFLRJKV3L2,SGM Infotech LLC,3283,1.57
,12314420C0037,~12314420C0037,1,SCA-TGS-2020-09-Brillient,MMAVC7UGLJ78,BRILLIENT CORPORATION,6068,2.91
,12314420C0045,~12314420C0045,1,1,TLE4AJTEGSF5,"C. J. COAKLEY CO., INC.",224,0.1
,12314420C0045,~12314420C0045,2,2,ZDFAFLT9LJS9,"FREESTATE BALTIMORE, LLC",189,0.09
,12314420C0045,~12314420C0045,3,3,L2N6UK6YMSL4,PRECISION WALL TECH INC.,22,0.01
,12314420C0045,~12314420C0045,4,4,C15WQAMCPH97,"Del-Ray Glass, Inc.",593,0.28
,12314420C0045,~12314420C0045,5,5,LBPXNM6S9FV9,"Vision Technologies, Inc.",729,0.35
,12314420C0045,~12314420C0045,6,6,UC1WL7FLVNE4,"W.E. BOWERS & ASSOCIATES, INC.",333,0.16
,12314420C0055,~12314420C0055,1,SCA-ATS-2022-11-Leisnoi,CJVTHHL129F3,LEISNOI ENTERPRISE SOLUTIONS LLC,1210,0.58
,12314421C0040,~12314421C0040,1,ROC2023-1,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,979.75,0.47
,12314421C0040,~12314421C0040,2,ROC32022,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,300,0.14
,12314421C0049,~12314421C0049,1,AS21-01447,LD51KLJENKD3,AXEOM LLC,456,0.21
,12314421C0049,~12314421C0049,2,SA,KBFUKJJSJW69,"TEKSystems, Inc. ",665,0.31
,12314421C0049,~12314421C0049,3,SA,UZVSKQ65B9Q1,LEVI RAY & SHOUP INC,3465,1.66
,12314421C0050,~12314421C0050,1,SA-PackagedAgile-USDA-2021FFIP-20210814,ZBQJW2SBNRF6,Packaged Agile LLC,1400,0.67
,12314421C0056,~12314421C0056,1,FA-22nd Century-041-3336,QT2VZ9L1VPQ1,"22ND CENTURY TECHNOLOGIES, INC.",956,0.45
,12314421C0056,~12314421C0056,2,FA-Nikora-039-3336,LKKLT519ULE6,"NIKORA TECHNOLOGIES, INC.",1932,0.92
,12314421C0062,~12314421C0062,1,002,KVH5NQZACE68,"ScienceLogic Federal Solutions, LLC",1293,0.62
,12314422C0020,~12314422C0020,1,ERP2,TNU1CNC1J316,"CREATIVE INFORMATION TECHNOLOGY, INC.",10650,5.12
,12314422C0047,~12314422C0047,1,DRT0003.v.1,XMTHGDNB3QU5,"DRT STRATEGIES, INC.",4324,2.07
,12314422C0059,~12314422C0059,1,SCA20220810,W3BEMK548CF3,"GLOBAL COMMERCE AND SERVICES, LLC",2312,1.11
,12314422C0069,~12314422C0069,1,SCA-KDS-2022-0801-InDepth,GG1EL9WE7EN8,In Depth Incorporated,3524,1.69
,12314422C0070,~12314422C0070,1,1614-Deloitte-0000,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,6433,3.09
